pot,leaf,population,pop.short,pop.geno,elevation,genotype,rep,observation,am.pm,time,date,meas.week,week.of.year,treatment,treatment.levels,gsw,rh,t.ref,t.leaf,delta.t,svp,lsvp,vpd,vpd.kpa
22,3,NRV-NEW,NRV,NRV123,666,123,8,158,am,8:39:00,7/20/23,1,29,predrought,predrought,0.181,20.11,40.38,35.07,5.31,7525.4,5643.85,4130.49,4.13
22,3,NRV-NEW,NRV,NRV123,666,123,8,159,am,8:39:00,7/20/23,1,29,predrought,predrought,0.229,20.75,40.4,37.24,3.16,7533.4,6356.58,4793.4,4.79
26,1,TSZ-SAN,TSZ,TSZ2,1212,2,2,75,am,8:03:00,7/20/23,1,29,predrought,predrought,0.315,24.3,38.02,33.89,4.13,6631.16,5286.2,3674.83,3.67
26,1,TSZ-SAN,TSZ,TSZ2,1212,2,2,76,am,8:03:00,7/20/23,1,29,predrought,predrought,0.287,24.62,38.04,32.02,6.02,6638.33,4759.66,3125.3,3.13
26,2,TSZ-SAN,TSZ,TSZ2,1212,2,2,77,am,8:04:00,7/20/23,1,29,predrought,predrought,0.547,25.4,38.09,32.26,5.83,6656.29,4824.58,3133.88,3.13
26,2,TSZ-SAN,TSZ,TSZ2,1212,2,2,78,am,8:04:00,7/20/23,1,29,predrought,predrought,0.445,24.65,38.1,31.78,6.32,6659.89,4695.5,3053.83,3.05
26,3,TSZ-SAN,TSZ,TSZ2,1212,2,2,79,am,8:05:00,7/20/23,1,29,predrought,predrought,0.063,25.85,38.12,35.13,2.99,6667.09,5662.58,3939.14,3.94
26,3,TSZ-SAN,TSZ,TSZ2,1212,2,2,80,am,8:05:00,7/20/23,1,29,predrought,predrought,0.055,25.47,38.15,35.75,2.4,6677.91,5859.34,4158.47,4.16
29,1,TSZ-SAN,TSZ,TSZ3,1212,3,2,105,am,8:14:00,7/20/23,1,29,predrought,predrought,0.2,22.35,38.72,34.71,4.01,6886.26,5532.58,3993.5,3.99
29,1,TSZ-SAN,TSZ,TSZ3,1212,3,2,106,am,8:14:00,7/20/23,1,29,predrought,predrought,0.227,22.14,38.78,33.64,5.14,6908.51,5213,3683.46,3.68
29,2,TSZ-SAN,TSZ,TSZ3,1212,3,2,107,am,8:15:00,7/20/23,1,29,predrought,predrought,0.138,21.96,38.8,35.38,3.42,6915.94,5741.22,4222.48,4.22
29,2,TSZ-SAN,TSZ,TSZ3,1212,3,2,108,am,8:15:00,7/20/23,1,29,predrought,predrought,0.31,21.88,38.82,33.72,5.1,6923.38,5236.33,3721.49,3.72
29,3,TSZ-SAN,TSZ,TSZ3,1212,3,2,109,am,8:15:00,7/20/23,1,29,predrought,predrought,0.219,21.78,38.83,33.74,5.09,6927.11,5242.17,3733.45,3.73
29,3,TSZ-SAN,TSZ,TSZ3,1212,3,2,110,am,8:16:00,7/20/23,1,29,predrought,predrought,0.328,22.22,38.84,33.63,5.21,6930.83,5210.09,3670.06,3.67
30,1,TSZ-SAN,TSZ,TSZ3,1212,3,3,184,am,8:51:00,7/20/23,1,29,predrought,predrought,0.18,19.39,40.85,35.5,5.35,7715.42,5779.3,4283.28,4.28
30,1,TSZ-SAN,TSZ,TSZ3,1212,3,3,185,am,8:51:00,7/20/23,1,29,predrought,predrought,0.196,19.16,40.85,35.02,5.83,7715.42,5628.28,4150.01,4.15
30,2,TSZ-SAN,TSZ,TSZ3,1212,3,3,186,am,8:51:00,7/20/23,1,29,predrought,predrought,0.224,19.56,40.84,36.01,4.83,7711.33,5943.59,4435.26,4.44
30,2,TSZ-SAN,TSZ,TSZ3,1212,3,3,187,am,8:52:00,7/20/23,1,29,predrought,predrought,0.291,19.06,40.83,34.95,5.88,7707.25,5606.55,4137.54,4.14
30,3,TSZ-SAN,TSZ,TSZ3,1212,3,3,188,am,8:52:00,7/20/23,1,29,predrought,predrought,0.224,18.94,40.81,35.54,5.27,7699.09,5792.04,4333.83,4.33
30,3,TSZ-SAN,TSZ,TSZ3,1212,3,3,189,am,8:52:00,7/20/23,1,29,predrought,predrought,0.295,19.29,40.8,35.38,5.42,7695.01,5741.22,4256.85,4.26
32,1,TSZ-SAN,TSZ,TSZ4,1212,4,1,111,am,8:16:00,7/20/23,1,29,predrought,predrought,0.016,23.11,38.85,37.33,1.52,6934.56,6387.75,4785.18,4.79
32,1,TSZ-SAN,TSZ,TSZ4,1212,4,1,112,am,8:16:00,7/20/23,1,29,predrought,predrought,0.088,22.09,38.9,37.05,1.85,6953.21,6291.21,4755.24,4.76
32,2,TSZ-SAN,TSZ,TSZ4,1212,4,1,113,am,8:17:00,7/20/23,1,29,predrought,predrought,0.034,22.57,38.93,39,-0.07,6964.42,6990.65,5418.78,5.42
32,2,TSZ-SAN,TSZ,TSZ4,1212,4,1,114,am,8:17:00,7/20/23,1,29,predrought,predrought,0.065,22.79,38.96,38.03,0.93,6975.65,6634.74,5044.99,5.04
32,3,TSZ-SAN,TSZ,TSZ4,1212,4,1,115,am,8:18:00,7/20/23,1,29,predrought,predrought,0.162,22.37,39.05,34.66,4.39,7009.43,5517.27,3949.26,3.95
32,3,TSZ-SAN,TSZ,TSZ4,1212,4,1,116,am,8:18:00,7/20/23,1,29,predrought,predrought,0.152,21.84,39.06,34.19,4.87,7013.2,5375.21,3843.53,3.84
34,1,TSZ-SAN,TSZ,TSZ4,1212,4,4,178,am,8:49:00,7/20/23,1,29,predrought,predrought,0.143,19.5,40.68,35.85,4.83,7646.22,5891.62,4400.61,4.4
34,1,TSZ-SAN,TSZ,TSZ4,1212,4,4,179,am,8:49:00,7/20/23,1,29,predrought,predrought,0.209,19.79,40.69,35.58,5.11,7650.27,5804.81,4290.82,4.29
34,2,TSZ-SAN,TSZ,TSZ4,1212,4,4,180,am,8:49:00,7/20/23,1,29,predrought,predrought,0.008,20.75,40.71,40.54,0.17,7658.39,7589.63,6000.51,6
34,2,TSZ-SAN,TSZ,TSZ4,1212,4,4,181,am,8:49:00,7/20/23,1,29,predrought,predrought,0.073,21.12,40.74,40.95,-0.21,7670.58,7756.38,6136.35,6.14
34,3,TSZ-SAN,TSZ,TSZ4,1212,4,4,182,am,8:50:00,7/20/23,1,29,predrought,predrought,0.104,20.73,40.8,37.32,3.48,7695.01,6384.28,4789.11,4.79
34,3,TSZ-SAN,TSZ,TSZ4,1212,4,4,183,am,8:50:00,7/20/23,1,29,predrought,predrought,0.076,20.81,40.82,37.22,3.6,7703.17,6349.67,4746.64,4.75
37,1,TSZ-SAN,TSZ,TSZ7,1212,7,4,166,am,8:44:00,7/20/23,1,29,predrought,predrought,0.159,20.79,40.43,36.11,4.32,7545.42,5976.28,4407.59,4.41
37,1,TSZ-SAN,TSZ,TSZ7,1212,7,4,167,am,8:44:00,7/20/23,1,29,predrought,predrought,0.233,20.66,40.44,35.77,4.67,7549.43,5865.78,4306.07,4.31
37,2,TSZ-SAN,TSZ,TSZ7,1212,7,4,168,am,8:45:00,7/20/23,1,29,predrought,predrought,0.013,20.54,40.46,39.93,0.53,7557.45,7347.27,5794.97,5.79
37,2,TSZ-SAN,TSZ,TSZ7,1212,7,4,169,am,8:45:00,7/20/23,1,29,predrought,predrought,0.175,21.86,40.56,34.89,5.67,7597.69,5587.97,3927.12,3.93
37,3,TSZ-SAN,TSZ,TSZ7,1212,7,4,170,am,8:46:00,7/20/23,1,29,predrought,predrought,0.281,21.6,40.59,35.16,5.43,7609.8,5671.97,4028.25,4.03
37,3,TSZ-SAN,TSZ,TSZ7,1212,7,4,171,am,8:46:00,7/20/23,1,29,predrought,predrought,0.174,21.3,40.6,35.43,5.17,7613.83,5757.06,4135.31,4.14
38,1,TSZ-SAN,TSZ,TSZ8,1212,8,4,50,am,7:53:00,7/20/23,1,29,predrought,predrought,0.247,24.3,37.46,32.34,5.12,6433.01,4846.39,3283.17,3.28
38,1,TSZ-SAN,TSZ,TSZ8,1212,8,4,51,am,7:54:00,7/20/23,1,29,predrought,predrought,0.29,24.67,37.51,34.25,3.26,6450.49,5393.17,3801.83,3.8
38,2,TSZ-SAN,TSZ,TSZ8,1212,8,4,52,am,7:54:00,7/20/23,1,29,predrought,predrought,0.287,24.31,37.58,32.82,4.76,6475.03,4979.06,3404.98,3.4
38,2,TSZ-SAN,TSZ,TSZ8,1212,8,4,53,am,7:55:00,7/20/23,1,29,predrought,predrought,0.274,24.14,37.6,32.43,5.17,6482.06,4871.03,3306.26,3.31
38,3,TSZ-SAN,TSZ,TSZ8,1212,8,4,54,am,7:55:00,7/20/23,1,29,predrought,predrought,0.289,23.91,37.62,32.49,5.13,6489.09,4887.51,3335.97,3.34
38,3,TSZ-SAN,TSZ,TSZ8,1212,8,4,55,am,7:55:00,7/20/23,1,29,predrought,predrought,0.219,23.95,37.63,32.16,5.47,6492.61,4797.43,3242.45,3.24
43,1,CCR-COL,CCR,CCR156,72,156,4,81,am,8:06:00,7/20/23,1,29,predrought,predrought,0.198,24.98,38.22,32.62,5.6,6703.2,4923.4,3248.94,3.25
43,1,CCR-COL,CCR,CCR156,72,156,4,82,am,8:06:00,7/20/23,1,29,predrought,predrought,0.253,25.3,38.23,33.13,5.1,6706.81,5066.41,3369.58,3.37
43,2,CCR-COL,CCR,CCR156,72,156,4,83,am,8:06:00,7/20/23,1,29,predrought,predrought,0.244,25.95,38.25,32.34,5.91,6714.06,4846.39,3104.09,3.1
43,2,CCR-COL,CCR,CCR156,72,156,4,84,am,8:07:00,7/20/23,1,29,predrought,predrought,0.209,26.53,38.28,34.83,3.45,6724.94,5569.46,3785.33,3.79
43,3,CCR-COL,CCR,CCR156,72,156,4,85,am,8:07:00,7/20/23,1,29,predrought,predrought,0.226,25.38,38.3,31.89,6.41,6732.2,4724.81,3016.18,3.02
43,3,CCR-COL,CCR,CCR156,72,156,4,86,am,8:07:00,7/20/23,1,29,predrought,predrought,0.285,24.88,38.29,33.35,4.94,6728.57,5129.2,3455.13,3.46
45,1,CCR-COL,CCR,CCR156,72,156,1,148,am,8:34:00,7/20/23,1,29,predrought,predrought,0.291,21.08,40.12,33.93,6.19,7422.03,5297.99,3733.43,3.73
45,1,CCR-COL,CCR,CCR156,72,156,1,149,am,8:35:00,7/20/23,1,29,predrought,predrought,0.441,21.33,40.22,34.09,6.13,7461.64,5345.4,3753.83,3.75
45,2,CCR-COL,CCR,CCR156,72,156,1,150,am,8:35:00,7/20/23,1,29,predrought,predrought,0.289,20.91,40.25,33.94,6.31,7473.56,5300.94,3738.22,3.74
45,2,CCR-COL,CCR,CCR156,72,156,1,151,am,8:36:00,7/20/23,1,29,predrought,predrought,0.363,20.83,40.25,34.18,6.07,7473.56,5372.22,3815.48,3.82
45,3,CCR-COL,CCR,CCR156,72,156,1,152,am,8:36:00,7/20/23,1,29,predrought,predrought,0.362,20.7,40.24,33.54,6.7,7469.58,5183.97,3637.77,3.64
45,3,CCR-COL,CCR,CCR156,72,156,1,153,am,8:37:00,7/20/23,1,29,predrought,predrought,0.421,21.16,40.25,32.96,7.29,7473.56,5018.34,3436.94,3.44
46,1,CCR-COL,CCR,CCR149,72,149,3,99,am,8:12:00,7/20/23,1,29,predrought,predrought,0.27,22.74,38.61,34.56,4.05,6845.62,5486.78,3930.08,3.93
46,1,CCR-COL,CCR,CCR149,72,149,3,100,am,8:12:00,7/20/23,1,29,predrought,predrought,0.309,24.34,38.63,32.72,5.91,6852.99,4951.16,3283.14,3.28
46,2,CCR-COL,CCR,CCR149,72,149,3,101,am,8:12:00,7/20/23,1,29,predrought,predrought,0.291,22.78,38.64,33.4,5.24,6856.68,5143.56,3581.61,3.58
46,2,CCR-COL,CCR,CCR149,72,149,3,102,am,8:13:00,7/20/23,1,29,predrought,predrought,0.324,22.76,38.65,33.17,5.48,6860.37,5077.77,3516.35,3.52
46,3,CCR-COL,CCR,CCR149,72,149,3,103,am,8:13:00,7/20/23,1,29,predrought,predrought,0.261,23.33,38.68,34.32,4.36,6871.45,5414.18,3811.07,3.81
46,3,CCR-COL,CCR,CCR149,72,149,3,104,am,8:13:00,7/20/23,1,29,predrought,predrought,0.277,22.77,38.69,33.93,4.76,6875.15,5297.99,3732.52,3.73
59,1,CCR-COL,CCR,CCR155,72,155,2,32,am,7:41:00,7/20/23,1,29,predrought,predrought,0.205,27.48,35.35,31.6,3.75,5731.73,4647.87,3072.79,3.07
59,1,CCR-COL,CCR,CCR155,72,155,2,33,am,7:41:00,7/20/23,1,29,predrought,predrought,0.259,27.02,35.45,31.75,3.7,5763.41,4687.53,3130.26,3.13
59,2,CCR-COL,CCR,CCR155,72,155,2,34,am,7:42:00,7/20/23,1,29,predrought,predrought,0.234,27.17,35.52,32.77,2.75,5785.67,4965.09,3393.13,3.39
59,2,CCR-COL,CCR,CCR155,72,155,2,35,am,7:42:00,7/20/23,1,29,predrought,predrought,0.286,26.96,35.58,31.51,4.07,5804.81,4624.21,3059.24,3.06
59,3,CCR-COL,CCR,CCR155,72,155,2,36,am,7:42:00,7/20/23,1,29,predrought,predrought,0.294,27.19,35.63,32.48,3.15,5820.8,4884.76,3302.09,3.3
59,3,CCR-COL,CCR,CCR155,72,155,2,37,am,7:43:00,7/20/23,1,29,predrought,predrought,0.214,27.26,35.67,32.34,3.33,5833.62,4846.39,3256.14,3.26
